"","zcta","zipp","City","County","Operational.Costs","Admin.Costs","Food.Costs","SFSP.Kitchens","Meals.Served","Media","Activity","Site.Density","Benefits","Poverty","Grocery","Convenience.Store","Public.Transport","Total.Meals","Total.ADP","Findings","Year.Round"
"884",76641,76641,"Frost","Navarro","Med","Med","Med","No","No Meals","Low","None","None","No","Med","No","Low",NA,"Low",0,NA,NA
"885",76642,76642,"Groesbeck","Limestone","Low",NA,NA,"No","No Meals","Low","None","None","No","Med","No","High",NA,NA,0,NA,NA
"887",76645,76645,"Hillsboro","Hill",NA,"Med","Low","No","Lunch Plus","Low","None","Low","No","Med","Yes","High",NA,"High",0,NA,1
"888",76648,76648,"Hubbard","Hill",NA,"Med","Low","No","Lunch Plus","Low","None","Low","No","High","No","Low",NA,"Low",0,NA,NA
"889",76649,76649,"Iredell","Bosque","Low",NA,NA,"No","No Meals","Low","None","None","No","Med","No","Low",NA,NA,0,NA,NA
"891",76651,76651,"Italy","Ellis","Med","Med","Med","No","No Meals","Low","None","None","No","Low","No","High",NA,"Low",0,NA,NA
"892",76652,76652,"Kopperl","Bosque","Low",NA,NA,"No","No Meals","Low","None","None","Yes","Med","No","None","No",NA,0,NA,NA
"896",76656,76656,"Lott","Falls","Low",NA,NA,"No","Lunch Plus","Low","None","Low","No","Med","No","Low","No",NA,0,NA,NA
"897",76657,76657,"Mc Gregor","Mclennan","High","Med","Med","No","Lunch Plus","Low","None","Low","No","Med","No","Low",NA,"Low",0,NA,NA
"898",76660,76660,"Malone","Hill",NA,"Med","Low","No","No Meals","Low","None","None","No","Low","No","Low",NA,"Low",0,NA,NA
"899",76661,76661,"Marlin","Falls","Low",NA,NA,"No","Lunch Plus","Low","None","Low","No","Med","No","High","No",NA,0,NA,NA
"900",76664,76664,"Mart","Mclennan","High","Med","Med","No","Lunch Plus","Low","None","Low","No","Med","No","Low",NA,"Low",0,NA,NA
"901",76665,76665,"Meridian","Bosque","Low",NA,NA,"No","Lunch Plus","Low","None","Low","No","Med","No","Low",NA,NA,0,NA,NA
"903",76667,76667,"Mexia","Limestone","Low",NA,NA,"No","No Meals","Low","None","None","No","Med","No","High",NA,NA,0,NA,NA
"904",76670,76670,"Milford","Ellis","Low","Low","Med","No","Lunch","Low","None","Low","No","Med","No","Low",NA,"Med",0,1,NA
"905",76671,76671,"Morgan","Bosque","Low",NA,NA,"No","No Meals","Low","None","None","No","Med","No","Low",NA,NA,0,NA,NA
"906",76673,76673,"Mount Calm","Hill",NA,"Med","Low","No","No Meals","Low","None","None","No","Med","No","Low",NA,"Low",0,NA,NA
"916",76689,76689,"Valley Mills","Bosque","Low",NA,NA,"No","Lunch Plus","High","None","Low","No","Low","Yes","Low",NA,NA,0,NA,NA
"918",76691,76691,"West","Mclennan","High","Med","Med","No","No Meals","Low","None","None","No","Med","No","Low",NA,"Low",0,NA,NA
"920",76692,76692,"Whitney","Hill",NA,"Med","Low","No","Lunch Plus","High","None","Low","No","Med","No","High","No","Low",0,NA,NA
"924",76704,76704,"Waco","Mclennan","High","Med","Med","No","Lunch Plus","Low","None","High","Yes","Med","No","High","No","Low",0,NA,NA
"925",76705,76705,"Waco","Mclennan","High","Med","Med","No","Lunch Plus","Low","None","High","No","Med","Yes","High","No","Low",0,NA,3
"926",76706,76706,"Waco","Mclennan","High","Med","Med","Yes","Lunch Plus","Low","None","High","Yes","High","No","High","No","Low",0,NA,NA
"927",76707,76707,"Waco","Mclennan","High","Med","Med","No","Lunch Plus","Low","None","High","Yes","Med","No","High","No","Low",0,NA,NA
"928",76708,76708,"Waco","Mclennan","High","Med","Med","No","Lunch Plus","Low","None","High","No","Med","No","High","No","Low",0,NA,NA
"929",76710,76710,"Waco","Mclennan","High","Med","Med","Yes","Lunch Plus","Low","None","High","No","Med","Yes","High","No","Low",0,NA,NA
"933",76711,76711,"Waco","Mclennan","High","Med","Med","No","Lunch Plus","Low","None","Low","No","Med","Yes","High","No","Low",0,NA,NA
"936",76712,76702,"Waco","Mclennan","High","Med","Med","Yes","Lunch Plus","Low","None","Low","No","Med","No","None","No","Low",0,NA,NA
"939",76801,76801,"Brownwood","Brown","Med","Med","Med","Yes","Lunch Plus","Low","None","Low","No","Med","Yes","High","No","High",0,NA,NA
"944",76821,76821,"Ballinger","Runnels","Low","Low","Med","No","Lunch Plus","Low","None","Low","No","Med","No","High",NA,"Low",0,NA,NA
"945",76823,76823,"Bangs","Brown","Med","Med","Med","No","Lunch","Low","None","Low","No","Med","No","Low",NA,"Low",0,NA,NA
"947",76825,76825,"Brady","Mcculloch","Low","Low","Med","No","Lunch Plus","High","High","Low","Yes","Med","No","High",NA,"Low",0,NA,NA
"948",76827,76827,"Brookesmith","Brown","Med","Med","Med","No","No Meals","Low","None","None",NA,"High","No","None",NA,"Low",0,NA,NA
"951",76832,76832,"Cherokee","San Saba","Low",NA,NA,"No","No Meals","Low","None","None","No",NA,"No","None",NA,NA,0,NA,NA
"952",76834,76834,"Coleman","Coleman","Med","Med","Med","Yes","Lunch","Low","None","Low","No","High","No","High",NA,"High",0,NA,NA
"954",76837,76837,"Eden","Concho","Low",NA,NA,"No","No Meals","Low","None","None","No","Med","Yes","Low",NA,NA,0,NA,NA
"958",76844,76844,"Goldthwaite","Mills","Low",NA,NA,"No","No Meals","Low","None","None","No","Low","No","Low",NA,NA,0,NA,NA
"961",76849,76849,"Junction","Kimble","Low",NA,NA,"No","No Meals","Low","None","None","No","High","Yes","Low",NA,NA,0,NA,NA
"963",76852,76852,"Lohn","Mcculloch","Low","Low","Med","No","Lunch Plus","Low","None","Low","No","Low","No","None",NA,"Med",0,NA,NA
"964",76853,76853,"Lometa","Lampasas","Low",NA,NA,"No","Lunch Plus","Low","None","Low","No","High","No","Low",NA,NA,0,NA,NA
"966",76856,76856,"Mason","Mason","Low",NA,NA,"No","Lunch Plus","Low","None","Low","No","Med","Yes","Low",NA,NA,0,NA,NA
"967",76857,76857,"May","Brown","Med","Med","Med","No","No Meals","Low","None","None","No","Low","No","None",NA,"Low",0,NA,NA
"969",76859,76859,"Menard","Menard","Low","Med","Med","No","Lunch","Low","None","Low","No","Low","Yes","Low",NA,"High",0,1,NA
"972",76864,76864,"Mullin","Mills","Low",NA,NA,"No","No Meals","Low","None","None","No","Med","No","None",NA,NA,0,NA,NA
"974",76866,76866,"Paint Rock","Concho","Low",NA,NA,"No","No Meals","Low","None","None","Yes","Med","No","Low",NA,NA,0,NA,NA
"976",76870,76870,"Priddy","Mills","Low",NA,NA,"No","No Meals","Low","None","None",NA,"High","No","None",NA,NA,0,NA,NA
"977",76871,76871,"Richland Springs","San Saba","Low",NA,NA,"No","No Meals","Low","None","None","No","High","No","None",NA,NA,0,NA,NA
"978",76872,76872,"Rochelle","Mcculloch","Low","Low","Med","No","No Meals","Low","None","None","No",NA,"No","None",NA,"Low",0,NA,NA
"982",76875,76875,"Rowena","Runnels","Low","Low","Med","No","No Meals","Low","None","None","No","Low","No","None",NA,"Low",0,NA,NA
"983",76877,76877,"San Saba","San Saba","Low",NA,NA,"No","No Meals","Low","None","None","No","Med","Yes","Low",NA,NA,0,NA,NA
"984",76878,76878,"Santa Anna","Coleman","Med","Med","Med","No","Lunch","Low","None","Low","No","Med","No","Low","No","Low",0,NA,NA
"986",76884,76884,"Valera","Coleman","Med","Med","Med","No","Lunch","Low","None","Low","No","High","No","None",NA,"Low",0,NA,NA
"990",76890,76890,"Zephyr","Brown","Med","Med","Med","No","No Meals","Low","None","None","No","High","No","Low",NA,"Low",0,NA,NA
"991",76901,76901,"San Angelo","Tom Green","Med","Low","High","No","Lunch Plus","Low","None","Low","No","Med","Yes","High","No","High",0,NA,NA
"992",76903,76903,"San Angelo","Tom Green","High","Med","Med","No","Lunch Plus","High","Low","High","No","Med","Yes","High","No",NA,0,NA,NA
"995",76904,76904,"San Angelo","Tom Green","Med","Med","Med","No","No Meals","Low","None","None","No","Med","Yes","High","No","Low",0,NA,NA
"998",76905,76905,"San Angelo","Tom Green","Med","Med","Med","No","No Meals","Low","None","None","No","Med","No","None","No","Low",0,NA,NA
"1001",76932,76932,"Big Lake","Reagan","Low","Med","Med","No","Lunch Plus","High","None","Low","No","Low","Yes","Low",NA,"High",0,NA,NA
"1011",76945,76945,"Robert Lee","Coke","Low",NA,NA,"No","No Meals","Low","None","None","No","Med","No","Low",NA,NA,0,NA,NA
"1022",77002,77002,"Houston","Harris","High","High","Med","No","Lunch Plus","Low","None","High","No","High","No","High","No","Low",0,NA,6
"1028",77003,77003,"Houston","Harris","High","High","Med","No","Lunch Plus","Low","None","High","No","High","No","High","Yes","Low",0,NA,7
"1031",77004,77004,"Houston","Harris","High","High","Med","No","Lunch Plus","Low","None","High","No","Med","No","High","Yes","Low",106.175425219941,NA,33
"1036",77007,77007,"Houston","Harris","High","High","Med","No","Lunch Plus","Low","None","High","No","Med","Yes","High","No","Low",0,NA,12
"1038",77008,77008,"Houston","Harris","High","High","Med","No","Lunch Plus","Low","None","High","No","Med","Yes","High","No","Low",0,NA,8
"1040",77009,77009,"Houston","Harris","High","High","Med","Yes","Lunch Plus","High","Low","High","No","Med","No","High","No","Low",75.86,5,20
"1043",77011,77011,"Houston","Harris","High","High","Med","No","Lunch Plus","Low","None","High","Yes","Med","No","High","No","Low",0,NA,10
"1044",77012,77012,"Houston","Harris","High","High","Med","No","Lunch Plus","Low","None","High","Yes","Med","No","High","No","Low",0,NA,21
"1047",77013,77013,"Houston","Harris","High","High","Med","No","Lunch Plus","Low","None","High","Yes","Med","No","High","No","Low",0,NA,7
"1052",77014,77014,"Houston","Harris","High","High","Med","No","Lunch Plus","Low","None","High","No","Med","No","High","No","Low",0,NA,6
"1053",77015,77015,"Houston","Harris","High","High","Med","No","Lunch Plus","High","None","High","No","Med","Yes","High","No","Low",0,NA,6
"1054",77016,77016,"Houston","Harris","High","High","Med","No","Lunch Plus","High","None","High","Yes","Med","No","High","No","Low",0,NA,10
"1058",77017,77017,"Houston","Harris","High","High","Med","No","Lunch Plus","Low","None","High","No","Low","No","High","No","Low",34.12,NA,12
"1061",77018,77018,"Houston","Harris","High","High","Med","No","Lunch Plus","Low","None","High","No","Med","Yes","High","No","Low",0,NA,14
"1063",77019,77019,"Houston","Harris","High","High","Med","No","Lunch Plus","Low","None","High","No","Med","Yes","Low","No","Low",131.56,NA,7
"1066",77020,77020,"Houston","Harris","High","High","Med","No","Lunch Plus","Low","None","High","Yes","Med","No","High","No","Low",33.12,NA,23
"1068",77021,77021,"Houston","Harris","High","High","Med","No","Lunch Plus","High","High","High","Yes","Med","No","High","Yes","Low",0,NA,20
"1069",77022,77022,"Houston","Harris","High","High","Med","No","Lunch Plus","Low","None","High","Yes","Med","Yes","High","No","Low",0,NA,12
"1071",77023,77023,"Houston","Harris","Med","High","Low","Yes","Lunch Plus","Low","None","High","No","Med","No","High","No",NA,0,NA,10
"1075",77025,77025,"Houston","Harris","High","High","Med","No","Lunch Plus","Low","None","High","No","Med","No","High","No","Low",0,NA,7
"1076",77026,77026,"Houston","Harris","High","High","Med","No","Lunch Plus","Low","None","High","Yes","Med","No","High","Yes","Low",0,NA,23
"1082",77028,77028,"Houston","Harris",NA,"High","High","No","Lunch Plus","High","High","High","No","Med","No","High","No",NA,56.7958944281525,26,19
"1083",77029,77029,"Houston","Harris","High","High","Med","No","Lunch Plus","Low","None","High","Yes","Med","No","High","No","Low",0,NA,7
"1087",77031,77031,"Houston","Harris","High","High","Med","No","Lunch Plus","Low","None","High","Yes","Med","No","High","No","Low",0,NA,4
"1090",77032,77032,"Houston","Harris","High","High","Med","No","Lunch Plus","High","High","High","Yes","Low","No","High","No","Low",0,NA,7
"1091",77033,77033,"Houston","Harris","High","High","Med","No","Lunch Plus","Low","None","High","No","Med","No","High","Yes","Low",8.44,NA,18
"1093",77034,77034,"Houston","Harris","High","High","Med","No","Lunch Plus","Low","None","High","No","Med","No","High","No","Low",0,NA,4
"1095",77035,77035,"Houston","Harris","High","High","Med","No","Lunch Plus","Low","None","High","No","Med","No","High","Yes","Low",53.579575559239,NA,9
"1100",77036,77036,"Houston","Harris","High","High","Med","No","Lunch Plus","Low","High","High","No","Med","Yes","High","No","Low",35.145641025641,NA,17
"1101",77037,77037,"Houston","Harris","High","High","Med","No","Lunch Plus","Low","None","High","Yes","Med","Yes","High","No","Low",0,NA,7
"1102",77038,77038,"Houston","Harris","High","High","Med","No","Lunch Plus","Low","None","Low","No","Med","No","High","No","Low",0,NA,5
"1103",77039,77039,"Houston","Harris","High","High","Med","No","Lunch Plus","Low","None","High","No","Med","Yes","High","No","Low",0,NA,9
"1105",77040,77040,"Houston","Harris","Med","Med","Med","No","Lunch Plus","Low","None","High","No","Med","Yes","High","No",NA,0,NA,5
"1107",77041,77041,"Houston","Harris","High","High","Med","No","Lunch Plus","Low","None","High","No","Med","No","High","No","Low",0,NA,4
"1108",77042,77042,"Houston","Harris","High","High","Med","No","Lunch Plus","Low","None","Low","No","Med","Yes","High","No","Low",24.0225641025641,NA,3
"1111",77043,77043,"Houston","Harris","High","High","Med","No","Lunch Plus","Low","None","Low","No","Med","Yes","Low","No","Low",0,NA,1
"1112",77044,77044,"Houston","Harris","High","High","Med","No","Lunch Plus","High","High","Low","No","Low","Yes","High","No","Low",0,NA,3
"1113",77045,77045,"Houston","Harris","High","High","Med","No","Lunch Plus","Low","None","High","No","Med","No","High","No","Low",8.72,NA,17
"1115",77047,77047,"Houston","Harris","High","High","Med","No","Lunch Plus","Low","None","High","No","Med","No","High","No","Low",28.3540345956054,NA,8
"1116",77048,77048,"Houston","Harris","High","High","Med","No","Lunch Plus","Low","None","High","No","Med","No","High","No","Low",192.738698816118,NA,12
"1117",77049,77049,"Houston","Harris","High","High","Med","No","Lunch Plus","Low","None","High","No","Med","Yes","High","No","Low",0,NA,5
"1120",77051,77051,"Houston","Harris","High","High","Med","No","Lunch Plus","Low","None","High","Yes","Med","No","High","Yes","Low",11.9333333333333,NA,16
"1121",77053,77053,"Houston","Fort Bend","Med","Med","Low","No","Lunch Plus","Low","None","Low","No","Med","No","High","No","Low",147.358333333333,NA,4
"1124",77054,77054,"Houston","Harris","High","High","Med","No","Lunch Plus","Low","None","Low","No","Med","Yes","High","Yes","Low",0,NA,1
"1125",77055,77055,"Houston","Harris","High","High","Med","No","Lunch Plus","Low","None","High","No","Med","Yes","High","No",NA,0,NA,5
"1129",77057,77057,"Houston","Harris","High","High","Med","No","Lunch Plus","Low","None","High","No","High","No","High","No","Low",0,NA,6
"1133",77060,77060,"Houston","Harris","High","High","Med","No","Lunch Plus","Low","None","High","No","Med","Yes","High","Yes","Low",0,5,12
"1134",77061,77061,"Houston","Harris","High","High","Med","No","Lunch Plus","Low","None","High","No","Med","Yes","High","No","Low",0,NA,10
"1139",77063,77063,"Houston","Harris","High","High","Med","No","Lunch Plus","Low","None","High","No","High","Yes","High","Yes","Low",9.64,NA,8
"1140",77064,77064,"Houston","Harris","High","High","Med","No","Lunch Plus","Low","None","High","No","Med","No","High","No","Low",0,NA,2
"1141",77065,77065,"Houston","Harris","High","High","Med","No","Lunch Plus","Low","None","Low","No","Med","Yes","High","No","Low",0,NA,3
"1142",77066,77066,"Houston","Harris","High","High","Med","No","Lunch Plus","Low","None","Low","No","Med","Yes","High","No","Low",9.35,NA,4
"1144",77067,77067,"Houston","Harris","Med","Med","Med","No","Lunch Plus","High","None","High","No","Med","No","High","No",NA,0,NA,8
"1145",77068,77068,"Houston","Harris","High","High","Med","No","Lunch","Low","None","Low","No","Med","Yes","High","No","Low",0,NA,2
"1146",77069,77069,"Houston","Harris","High","High","Med","No","No Meals","Low","None","None","No","High","Yes","High","No","Low",0,NA,NA
"1149",77071,77071,"Houston","Harris","High","High","Med","No","Lunch Plus","Low","None","High","No","Med","No","High","No","Low",0,NA,6
"1152",77072,77072,"Houston","Harris","High","High","Med","No","Lunch Plus","Low","None","High","Yes","Med","No","High","No","Low",33.6102564102564,NA,10
"1153",77073,77073,"Houston","Harris","High","High","Med","No","Lunch Plus","Low","None","High","No","Med","Yes","High","No","Low",0,NA,10
"1154",77074,77074,"Houston","Harris","High","High","Med","Yes","Lunch Plus","Low","None","High","No","Med","No","High","No","Low",39.7340175953079,NA,15
"1156",77075,77075,"Houston","Harris","High","High","Med","No","Lunch Plus","Low","None","High","No","Med","Yes","High","No","Low",0,NA,7
"1159",77076,77076,"Houston","Harris","High","High","Med","No","Lunch Plus","Low","None","High","No","Med","No","High","No","Low",0,NA,13
"1161",77077,77077,"Houston","Harris","High","High","Med","No","Lunch Plus","Low","None","High","No","Med","Yes","High","No","Low",0,NA,10
"1164",77078,77078,"Houston","Harris","High","High","Med","No","Lunch Plus","Low","None","High","Yes","Med","No","Low","No","Low",31.66,NA,6
"1169",77080,77080,"Houston","Harris","High","High","Med","Yes","Lunch Plus","Low","None","High","No","Med","Yes","High","No","Low",0,NA,5
"1170",77081,77081,"Houston","Harris","High","High","Med","No","Lunch Plus","Low","None","High","Yes","Med","Yes","High","Yes","Low",97.12,NA,13
"1171",77082,77082,"Houston","Harris","High","High","Med","No","Lunch Plus","Low","None","High","No","Med","Yes","High","No","Low",0,NA,3
"1172",77083,77083,"Houston","Harris","High","High","Med","No","Lunch Plus","Low","None","High","No","Med","No","High","No","Low",133.334017595308,NA,9
"1174",77084,77084,"Houston","Harris","High","High","Med","No","Lunch Plus","Low","None","Low","No","Med","Yes","High","No","Low",0,NA,3
"1175",77085,77085,"Houston","Harris","High","High","Med","No","Lunch Plus","Low","None","High","Yes","Med","No","Low","No","Low",4.67741935483871,NA,4
"1176",77086,77086,"Houston","Harris","High","High","Med","No","Lunch Plus","Low","None","Low","Yes","Low","Yes","High","No","Low",0,NA,8
"1177",77087,77087,"Houston","Harris","High","High","Med","No","Lunch Plus","High","High","High","No","Med","No","High","No","Low",0,NA,8
"1178",77088,77088,"Houston","Harris","High","High","Med","No","Lunch Plus","Low","None","High","No","Med","Yes","High","No","Low",18.14,NA,28
"1180",77089,77089,"Houston","Harris","High","High","Med","No","Lunch Plus","Low","None","High","No","Med","Yes","High","No","Low",0,NA,8
"1183",77090,77090,"Houston","Harris","High","High","Med","No","Lunch Plus","Low","None","High","No","Med","No","High","No","Low",12.3,NA,12
"1186",77091,77091,"Houston","Harris","High","High","Med","Yes","Lunch Plus","Low","None","High","No","Med","No","High","Yes","Low",17.0173020527859,NA,21
"1187",77092,77092,"Houston","Harris","Med","Med","Low","No","Lunch Plus","Low","None","High","No","Med","Yes","High","No","High",0,NA,16
"1188",77093,77093,"Houston","Harris","High","High","Med","No","Lunch Plus","Low","None","High","Yes","Med","Yes","High","No","Low",0,NA,15
"1192",77096,77096,"Houston","Harris","High","High","Med","No","Lunch Plus","Low","None","High","No","Med","Yes","High","No","Low",0,NA,11
"1194",77099,77099,"Houston","Harris","High","High","Med","No","Lunch Plus","Low","None","High","No","Med","Yes","High","No","Low",113.988502128502,NA,8
"1200",77301,77301,"Conroe","Montgomery","High","Med","Med","No","Lunch Plus","Low","None","Low","No","Med","Yes","High","No",NA,0,NA,NA
"1201",77302,77302,"Conroe","Montgomery","Med","Med","Med","No","Lunch Plus","Low","None","Low","Yes","Med","No","Low","No","Low",0,NA,NA
"1202",77303,77303,"Conroe","Montgomery","Med","Med","Med","No","No Meals","Low","None","None","No","Med","No","High","No","Low",0,NA,NA
"1203",77304,77304,"Conroe","Montgomery","Med","Med","Med","No","Lunch Plus","Low","None","Low","No","Low","Yes","High","No","Low",0,NA,NA
"1204",77306,77306,"Conroe","Montgomery","Med","Med","Med","No","No Meals","Low","None","None","Yes","Low","No","High",NA,"Low",0,NA,NA
"1207",77318,77318,"Willis","Montgomery","Med","Med","Med","No","No Meals","Low","None","None","No","Med","Yes","High",NA,"Low",0,NA,NA
"1209",77320,77320,"Huntsville","Walker","Low",NA,NA,"No","Lunch Plus","Low","None","High","No","Med","No","Low","No",NA,0,NA,4
"1214",77327,77327,"Cleveland","Liberty","Low","Low","Med","No","Lunch Plus","Low","None","Low","No","Med","No","High",NA,"High",0,NA,NA
"1216",77331,77331,"Coldspring","San Jacinto","Low",NA,NA,"No","Lunch Plus","High","High","Low","No","Med","No","Low","No",NA,0,NA,NA
"1218",77335,77335,"Goodrich","Polk","Med","Med","High","No","No Meals","Low","None","None","No","Med","No","Low",NA,"Low",0,NA,NA
"1220",77338,77338,"Humble","Harris","High","High","Med","No","Lunch Plus","High","High","High","No","Med","Yes","High","No","Low",0,NA,7
"1225",77340,77340,"Huntsville","Walker","Low",NA,NA,"No","Lunch Plus","Low","None","Low","Yes","Med","Yes","High",NA,NA,0,NA,1
"1229",77350,77350,"Leggett","Polk","Med","Med","High","No","No Meals","Low","None","None","No","Low","No","Low",NA,"Low",0,NA,NA
"1231",77351,77351,"Livingston","Polk","Med","Med","High","Yes","Lunch Plus","Low","None","Low","No","Med","No","High","No","High",0,NA,1
"1232",77351,77332,"Dallardsville","Polk","Med","Med","High","No","No Meals","Low","None","None","No","Med","No","None","No","Low",0,NA,NA
"1235",77355,77355,"Magnolia","Montgomery","Med","Med","High","No","Lunch Plus","Low","None","Low","No","Med","No","High","No","High",0,NA,NA
"1237",77357,77357,"New Caney","Montgomery","Med","Med","Med","No","Lunch Plus","Low","None","High","Yes","Med","No","High","No","Low",0,NA,NA
"1238",77358,77358,"New Waverly","Walker","Low",NA,NA,"No","No Meals","Low","None","None","No","Low","No","High",NA,NA,0,NA,NA
"1240",77360,77360,"Onalaska","Polk","Med","Med","High","No","Lunch","Low","None","Low","No","Med","No","Low",NA,"Low",0,NA,NA
"1244",77365,77365,"Porter","Montgomery","Med","Med","Med","No","Lunch Plus","Low","None","High","No","Med","Yes","High","No","Low",0,NA,1
"1248",77371,77371,"Shepherd","San Jacinto","Low",NA,NA,"No","Lunch Plus","High","None","Low","No","Med","No","High",NA,NA,0,NA,NA
"1249",77372,77372,"Splendora","Montgomery","Low","Med","Med","Yes","Lunch Plus","Low","None","Low","No","Med","No","High","No","High",0,NA,NA
"1250",77373,77373,"Spring","Harris","High","High","Med","No","Lunch Plus","Low","None","High","No","Med","No","High","No","Low",0,NA,5
"1256",77378,77378,"Willis","Montgomery","Med","Med","Med","No","Lunch Plus","Low","None","Low","No","Med","No","High","No",NA,0,NA,NA
"1270",77396,77396,"Humble","Harris","High","High","Med","No","Lunch Plus","Low","None","Low","No","Med","Yes","High","No","Low",13.3786036036036,NA,3
"1275",77412,77412,"Altair","Colorado","Low",NA,NA,"No","No Meals","High","None","None",NA,NA,"No","None","Yes",NA,0,NA,NA
"1277",77414,77414,"Bay City","Matagorda","Low","Med","High","Yes","Lunch Plus","High","None","Low","No","Med","No","High","No","High",0,NA,NA
"1279",77417,77417,"Beasley","Fort Bend","Med","Med","Low","No","No Meals","Low","None","None","No","Low","No","Low",NA,"Low",0,NA,NA
"1282",77419,77419,"Blessing","Matagorda","Med","Med","Med","No","No Meals","Low","None","None","No","Med","No","Low",NA,"Low",0,NA,NA
"1283",77420,77420,"Boling","Wharton",NA,"Med","Low","No","No Meals","Low","None","None","No","Med","No","Low",NA,"Low",0,NA,NA
"1284",77422,77422,"Brazoria","Brazoria","Med","Med","Med","No","Lunch Plus","Low","None","Low","No","Med","No","Low","No","Low",0,NA,NA
"1285",77423,77423,"Brookshire","Waller","Low",NA,NA,"No","Lunch Plus","Low","None","Low","No","Med","No","High","No",NA,119.365249266862,NA,3
"1290",77430,77430,"Damon","Brazoria","Med","Med","Med","No","Lunch","High","Low","Low","No","Med","No","None",NA,"Low",0,NA,NA
"1293",77434,77434,"Eagle Lake","Colorado","Low",NA,NA,"No","Lunch Plus","Low","None","Low","Yes","High","No","High",NA,NA,0,NA,NA
"1296",77437,77437,"El Campo","Wharton",NA,"Med","Low","No","Lunch Plus","Low","None","Low","No","Med","No","High","No","Low",0,NA,NA
"1297",77440,77440,"Elmaton","Matagorda","Med","Med","Med","No","No Meals","Low","None","None",NA,NA,"No","None",NA,"Low",0,NA,NA
"1299",77442,77442,"Garwood","Colorado","Low",NA,NA,"No","No Meals","Low","None","None","No",NA,"No","Low",NA,NA,0,NA,NA
"1302",77445,77445,"Hempstead","Waller","Low",NA,NA,"No","No Meals","Low","None","None","No","Med","No","High",NA,NA,0,NA,NA
"1303",77446,77446,"Prairie View","Waller","Low",NA,NA,"No","No Meals","Low","None","None","Yes","High","No","None","No",NA,0,NA,NA
"1304",77447,77447,"Hockley","Harris","High","High","Med","No","No Meals","Low","None","None","No","Med","No","Low","No","Low",0,NA,NA
"1306",77449,77449,"Katy","Harris","High","High","Med","No","Lunch Plus","Low","None","High","No","Med","Yes","High","No","Low",0,NA,NA
"1311",77455,77455,"Louise","Wharton",NA,"Med","Low","No","No Meals","Low","None","None","Yes","Med","No","Low",NA,"Low",0,NA,NA
"1313",77457,77457,"Matagorda","Matagorda","Med","Med","Med","No","No Meals","Low","None","None",NA,NA,"No","Low",NA,"Low",0,NA,NA
"1318",77464,77464,"Orchard","Fort Bend","Med","Med","Low","No","No Meals","Low","None","None","Yes","Low","No","Low",NA,"Low",0,NA,NA
"1319",77465,77465,"Palacios","Matagorda","Med","Low","Med","No","Lunch Plus","Low","None","Low","No","Med","Yes","Low",NA,"High",0,NA,NA
"1323",77469,77469,"Richmond","Fort Bend","Med","Med","Low","No","Lunch Plus","Low","None","High","No","Med","No","High","No","Low",208.083333333333,NA,1
"1325",77471,77471,"Rosenberg","Fort Bend","Med","Med","Low","No","Lunch Plus","Low","None","Low","No","Med","Yes","High","No","Low",0,NA,1
"1327",77474,77474,"Sealy","Austin","Med","Med","Med","No","Lunch Plus","Low","None","Low","No","Med","No","High","No","Low",0,NA,3
"1328",77475,77475,"Sheridan","Colorado","Low",NA,NA,"No","No Meals","Low","None","None",NA,NA,"No","None",NA,NA,0,NA,NA
"1330",77477,77477,"Stafford","Fort Bend","Med","Med","Low","Yes","Lunch Plus","Low","None","Low","No","Med","Yes","High","No","Low",287.25,NA,3
"1337",77480,77480,"Sweeny","Brazoria","Med","Med","Med","No","No Meals","High","Low","None","No","Med","No","Low",NA,"Low",0,NA,NA
"1340",77482,77482,"Van Vleck","Matagorda","Med","Med","Med","No","No Meals","Low","None","Low","No","Low","No","Low","No","Low",0,NA,NA
"1342",77484,77484,"Waller","Harris","High","High","Med","No","Lunch Plus","High","None","Low","Yes","Med","No","High","No","Low",0,NA,NA
"1343",77485,77485,"Wallis","Austin","Med","Med","Med","No","Lunch Plus","High","None","Low","No","Med","No","Low","No","Low",0,NA,NA
"1345",77488,77488,"Wharton","Wharton",NA,"Med","Low","Yes","Lunch Plus","Low","None","Low","No","Med","No","High",NA,"High",0,NA,NA
"1346",77489,77489,"Missouri City","Fort Bend","Med","Med","Low","No","Lunch Plus","Low","None","High","No","Med","No","High","No","Low",63.5059824046921,NA,4
"1348",77493,77493,"Katy","Harris","High","High","Med","No","Lunch Plus","Low","None","Low","No","Med","No","High","No","Low",0,NA,1
"1353",77502,77502,"Pasadena","Harris","High","High","Med","No","Lunch Plus","High","High","High","No","Low","No","High","No",NA,0,NA,2
"1354",77503,77503,"Pasadena","Harris","High","High","Med","No","Lunch Plus","Low","None","High","No","Med","No","High","No","Low",0,NA,4
"1355",77504,77504,"Pasadena","Harris","High","High","Med","No","Lunch Plus","Low","None","High","No","Med","Yes","High","No","Low",0,NA,2
"1359",77506,77506,"Pasadena","Harris","High","High","Med","No","Lunch Plus","Low","None","High","No","Med","No","High","No","Low",0,NA,8
"1362",77511,77511,"Alvin","Brazoria","Med","Med","Med","No","Lunch Plus","High","Low","Low","No","Med","No","High",NA,"High",0,1,1
"1364",77514,77514,"Anahuac","Chambers","Low",NA,NA,"No","Lunch Plus","Low","Low","Low","Yes","Med","No","High",NA,NA,0,NA,NA
